WGS84 UTM 29N
684415 5910357
7.009301484096795 -52.74498109333217 -127.74
-15.259142897557467 27.394149223342538 -104.54
-15.527925952221267 -39.51710314583033 -104.34
7.056289365165867 -65.57015237305313 -128.24
-14.02954942069482 53.6526918169111 -104.54
-10.078026680042967 22.415956267155707 -115.34
14.243820236180909 -64.84905403386801 -105.54
-18.985092396032996 19.06963210646063 -115.44
-15.170450710458681 13.4444444430992 -104.64
6.020702577545308 -27.868748287670314 -128.14
-18.94988259486854 -14.626923858188093 -115.54
-12.463619499350898 70.32723526563495 -104.54
5.540589042357169 -17.779840814881027 -127.94
18.491506206337363 -48.188083234243095 -116.04
18.390577142010443 -31.72666395455599 -116.14
6.379125610808842 -36.635123438201845 -128.14
13.161489905323833 22.370291298255324 -105.84
-17.451204360462725 -44.44277816452086 -115.44
7.211843746132217 -59.3548170318827 -127.94
-4.600197535241023 141.59205864183605 -104.44
-18.186205385485664 -29.880803470499814 -115.54
-15.213050107937306 40.68700159713626 -104.44
-15.36971134506166 -20.273577988147736 -104.54
-2.085796139203012 24.88840203732252 -115.44
-9.731053519295529 96.19544898532331 -104.44
18.025154115632176 -13.700743331573904 -116.14
-6.53776302782353 125.47236188407987 -104.34
-15.234866975806653 -7.3578264424577355 -104.54
-20.576574067003094 12.325276304967701 -115.34
-15.65241438220255 -50.40599829144776 -104.24
13.810395691310987 -28.58149099163711 -105.74
13.343358148355037 8.50463446509093 -105.64
13.040018505649641 111.04078558646142 -105.64
-19.91006135859061 0.8204367002472281 -115.44
13.543513389653526 134.46818961016834 -106.94
12.967815813841298 51.163194293156266 -105.74
-15.72116207529325 -63.64094374794513 -104.44
18.363634989131242 -64.00557675212622 -116.04
14.85859854775481 -72.72374933864921 -116.14
12.84676385181956 85.20294781774282 -105.54
-15.431762558990158 -30.717636363580823 -104.34
5.132141809328459 -9.395945354364812 -127.94
-16.529436245909892 -58.66028545796871 -115.24
-2.5378709270153195 1.0391498785465956 -128.04
18.07712820766028 18.600799997337162 -116.14
6.767157330643386 -44.540267476812005 -128.24
15.027007309021428 -72.5749036045745 -116.14
-15.754312825622037 -68.61709594447166 -115.54
13.02752537408378 36.816351101733744 -105.64
3.463445534929633 -1.6270824037492275 -127.94
13.688891604775563 -13.5007153628394 -105.74
27.00017687876243 -42.688372910022736 -107.74
12.691682493081316 75.72673678956926 -105.84
12.910659617860802 66.01752413529903 -105.84
13.962662026053295 -52.388751081191 -105.84
17.89209370315075 5.500559581443667 -115.94
